SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue,Date,Country
LTU,Europe,2012,SEX_MLE,52.2545437,2025-01-28T14:13:24.673+01:00,Lithuania
JOR,Eastern Mediterranean,2010,SEX_MLE,1.67023763,2025-01-28T14:13:24.673+01:00,Jordan
SSD,Africa,2020,SEX_FMLE,5.91657156,2025-01-28T14:13:24.673+01:00,South Sudan
SYR,Eastern Mediterranean,2001,SEX_MLE,1.809798987,2025-01-28T14:13:24.673+01:00,Syria
ZWE,Africa,2021,SEX_BTSX,25.42332703,2025-01-28T14:13:24.673+01:00,Zimbabwe
TUN,Eastern Mediterranean,2011,SEX_FMLE,1.596429196,2025-01-28T14:13:24.673+01:00,Tunisia
BRB,Americas,2007,SEX_FMLE,0.97042521,2025-01-28T14:13:24.673+01:00,Barbados
TKM,Europe,2001,SEX_FMLE,4.459120707,2025-01-28T14:13:24.673+01:00,Turkmenistan
CHL,Americas,2010,SEX_FMLE,4.268587753,2025-01-28T14:13:24.673+01:00,Chile
TCD,Africa,2019,SEX_BTSX,10.97904735,2025-01-28T14:13:24.673+01:00,Chad
EMR,,2008,SEX_MLE,6.914089453,2025-01-28T14:13:24.673+01:00,not found
AGO,Africa,2017,SEX_MLE,20.4100244,2025-01-28T14:13:24.673+01:00,Angola
UGA,Africa,2000,SEX_MLE,24.81304942,2025-01-28T14:13:24.673+01:00,Uganda
BHS,Americas,2005,SEX_MLE,5.492101872,2025-01-28T14:13:24.673+01:00,Bahamas
MRT,Africa,2019,SEX_FMLE,3.069856067,2025-01-28T14:13:24.673+01:00,Mauritania
IRQ,Eastern Mediterranean,2019,SEX_FMLE,1.99281131,2025-01-28T14:13:24.673+01:00,Iraq
AUS,Western Pacific,2016,SEX_MLE,16.92721912,2025-01-28T14:13:24.673+01:00,Australia
BRA,Americas,2017,SEX_MLE,10.41299143,2025-01-28T14:13:24.673+01:00,Brazil
NPL,South-East Asia,2007,SEX_MLE,15.70351968,2025-01-28T14:13:24.673+01:00,Nepal
AGO,Africa,2000,SEX_MLE,29.907425,2025-01-28T14:13:24.673+01:00,Angola
PAN,Americas,2019,SEX_FMLE,0.423549575,2025-01-28T14:13:24.673+01:00,Panama
VEN,Americas,2006,SEX_BTSX,6.30590568,2025-01-28T14:13:24.673+01:00,Venezuela
IRQ,Eastern Mediterranean,2001,SEX_FMLE,2.977762484,2025-01-28T14:13:24.673+01:00,Iraq
GUY,Americas,2003,SEX_FMLE,15.28546732,2025-01-28T14:13:24.673+01:00,Guyana
SLV,Americas,2011,SEX_MLE,16.24694469,2025-01-28T14:13:24.673+01:00,El Salvador
SVK,Europe,2018,SEX_FMLE,2.731708192,2025-01-28T14:13:24.673+01:00,Slovakia
QAT,Eastern Mediterranean,2015,SEX_FMLE,1.377553249,2025-01-28T14:13:24.673+01:00,Qatar
GTM,Americas,2016,SEX_MLE,9.448388966,2025-01-28T14:13:24.673+01:00,Guatemala
MEX,Americas,2012,SEX_MLE,8.285736963,2025-01-28T14:13:24.673+01:00,Mexico
VNM,Western Pacific,2020,SEX_BTSX,6.689190286,2025-01-28T14:13:24.673+01:00,Vietnam
CPV,Africa,2018,SEX_FMLE,4.788300428,2025-01-28T14:13:24.673+01:00,Cabo Verde
